From	To
Q9ZVB5-2	NM_180018.1
Q8L467-2	NM_001340935.1
Q8L467-2	NM_179052.2
Q5XVH0-2	NM_001036174.2
Q94JL3-2	NM_001333996.1
Q94JL3-2	NM_179505.1
Q9LT23-2	NM_112876.6
Q66GR3-2	NM_201941.2
Q7XHI5-2	NM_001084454.2
Q7XHI5-2	NM_001335660.1
Q7XJU2-2	NM_001331570.1
Q7XJU2-2	NM_001331567.1
Q7XJU2-2	NM_001331564.1
Q7XJU2-2	NM_179266.3
Q9H2M3-2	NM_001178005.1
Q93Z30-2	NM_001341308.1
P55061-2	NM_001098576.1
P55061-2	XM_005269126.3
Q6UXY1-2	XM_011530379.2
Q96G01-4	NM_001003398.1
Q8BR07-3	NM_001112796.2
Q8TD16-2	NM_001003800.1
Q921C5-2	NM_001039179.2
V6CJ04-2	NM_001306806.1
P55957-2	NM_197966.2
P55957-4	NM_001244569.1
P55957-4	NM_001244570.1
P55957-4	NM_001244572.1
P55957-4	NM_197967.2
Q9LEZ3-2	NM_001342983.1
O00499-2	NM_139347.2
O00499-3	NM_139345.2
O00499-4	NM_139349.2
O00499-5	NM_139344.2
O00499-6	NM_139348.2
O00499-7	NM_139350.2
O00499-8	NM_004305.3
O00499-9	NM_139351.2
O00499-10	NM_001320632.1
O00499-11	NM_139346.2
O08539-2	XM_006525993.3
Q9UBW5-2	NM_001290008.1
Q9UBW5-3	NM_001290007.1
Q8GW43-2	NM_120544.3
Q8H1B3-2	NM_001198015.2
Q13075-2	NM_022892.1
Q13490-2	NM_001256166.1
O15392-3	NM_001012270.1
O70201-2	NM_001012273.1
O88738-2	NM_007566.3
Q96CA5-2	NM_022161.3
Q86UB2-2	NM_001159596.1
Q6QNY1-2	NM_001001342.2
Q6QNY1-2	NM_001282437.1
Q6QNY1-2	NM_001282438.1
Q8TDH9-3	NM_001199322.1
Q01532-2	NM_001183077.1
P51559-6	NM_001026369.3
P51559-11	NM_001316849.1
P51559-12	NM_001316850.1
P51559-14	NM_001316852.1
Q93560-2	NM_001264442.1
Q8WV28-2	NM_001114094.1
Q8WV28-3	NM_001258440.1
A0JNW5-2	NM_001006947.1
Q2LD37-4	XM_006714344.1
O00327-1	NM_001297724.1
O00327-8	NM_001030272.2
O00327-8	NM_001178.5
O00327-9	NM_001030273.2
Q9WTL8-2	XM_017321950.1
Q9WTL8-3	NM_001243048.1
Q9WTL8-4	NM_007489.4
Q8WYA1-2	NM_001248002.1
Q8WYA1-3	NM_001248003.1
Q8WYA1-4	NM_001248004.1
Q8WYA1-9	NM_001248005.1
Q96LC9-2	NM_001003942.1
Q96LC9-3	NM_001003943.2
P13497-2	NM_001199.3
Q9NSY1-2	NM_017593.3
P22003-2	NM_001329754.1
P49003-2	NM_007555.4
O00238-2	NM_001256793.1
Q8BMQ3-2	NM_172870.4
Q9VZA4-2	NM_139660.5
Q9VZA4-3	NM_168095.3
O60238-2	NM_001330491.1
Q09969-2	NM_076939.3
Q7Z465-2	NM_001159642.1
Q709R6-2	NM_141660.4
Q9BWV1-3	NM_001301861.1
Q96IK1-2	NM_001159651.1
Q53S33-2	NM_001035505.1
Q8N9W6-2	NM_001284361.1
Q8N9W6-3	NM_197970.2
Q8N9W6-4	NM_001284362.1
Q8N9W6-5	NM_001284358.1
Q6PGQ7-2	NM_001286747.1
Q969J3-2	NM_001330356.1
Q96FH0-2	NM_001145783.1
Q9VLD6-2	NM_164850.4
Q9LFD5-2	NM_001085126.1
Q9LFD5-3	NM_001085127.1
F4JUI3-2	NM_120051.6
Q8L999-2	NM_001085221.1
O82286-2	NM_129107.3
Q0JXE7-2	NM_104657.4
Q86WA6-2	NM_001302777.1
Q9BQP9-2	NM_001042439.2
Q67E05-3	NM_177850.3
Q8L765-2	NM_001203405.1
O22286-2	NM_001036439.2
O95861-3	NM_001286149.1
O95861-3	NM_001286151.1
O95861-4	NM_001286150.1
O95861-4	XM_017000043.1
Q12830-2	NM_182641.3
Q12830-4	NM_004459.6
Q04982-1	NM_205302.1
P34908-2	XM_015866793.1
P28028-1	NM_139294.5
Q99MP8-2	NM_001289544.1
Q01295-2	NM_001258533.1
Q01295-2	NM_166898.2
Q01295-4	NM_001201596.3
Q01295-4	NM_166893.2
Q01295-5	NM_166894.4
B6VQ60-2	NM_001267953.1
P38398-3	NM_007298.3
P38398-6	NM_007299.3
P38398-7	NM_007300.3
P38398-8	NM_007297.3
A5PJP6-2	NM_001075790.1
P46736-2	NM_001018055.2
P46736-3	NM_001242640.1
Q5HYC2-2	XM_005251385.2
O95696-2	NM_001304808.1
O95696-2	XM_017028716.1
G5E8P1-2	NM_001033274.3
P25440-2	NM_001199455.1
P25440-3	NM_001199456.1
P25440-4	NM_001291986.1
Q8K2F0-2	NM_001113574.1
O60885-2	NM_014299.2
O60885-3	NM_001330384.1
Q9ESU6-2	NM_198094.2
Q9NPI1-2	NM_001173984.2
Q9H0E9-2	NM_006696.3
Q9H0E9-3	NM_001300966.1
Q9H0E9-4	NM_001164326.1
Q8R3B7-2	NM_001289606.1
Q9H8M2-1	NM_001317951.1
Q9H8M2-6	NM_001009877.2
Q58F21-3	NM_001242806.2
Q58F21-4	NM_001242807.2
Q58F21-4	NM_001242808.2
Q58F21-5	NM_001242810.2
Q91Y44-2	NM_001079873.1
Q9C895-2	NM_001160956.1
O75150-4	NM_001207034.1
P34537-2	NM_001027528.3
Q6QMT2-2	NM_067314.2
Q9FHE4-2	NM_123878.3
F4IDI6-2	NM_202445.3
O95415-2	NM_001159491.1
Q6PL45-2	NM_182563.3
Q5PSV4-2	XM_017021705.1
Q0VDD7-2	NM_001345844.1
Q0VDD7-2	NM_024323.4
Q6DIA7-2	NM_001163752.1
Q6EVK6-2	NM_001337166.1
Q6EVK6-2	NM_001337169.1
Q6EVK6-2	NM_130165.3
P25439-2	NM_080497.5
P25439-2	NM_168640.2
Q8LFS6-2	NM_001340422.1
Q76B58-2	NM_001317188.1
Q76B58-2	XM_011509476.2
Q76B58-2	XM_017001129.1
Q96NH3-4	XM_017010398.1
Q5VW32-2	NM_001288579.1
Q5VW32-2	NM_001288580.1
P55201-2	NM_001003694.1
P55201-3	NM_001319050.1
P55201-4	NM_001319049.1
B2KF05-2	XM_006524328.3
Q5RJI5-2	NM_001168572.1
Q8IWQ3-2	NM_001256629.1
Q8IWQ3-3	NM_003957.3
Q8IWQ3-5	NM_001256630.1
Q8IWQ3-6	NM_001282218.1
Q69Z98-2	NM_001009929.3
Q69Z98-3	NM_001009930.3
Q69Z98-4	NM_029426.2
Q9NSI6-2	NM_033656.3
Q9NSI6-4	NM_001007246.2
Q921C3-2	NM_001103179.1
Q6RI45-3	XM_017029384.1
Q5HZ09-2	NM_001160950.2
Q96G97-3	NM_001130702.2
Q96G97-4	NM_001122955.3
Q9NW68-3	NM_001300958.1
Q9NW68-7	NM_001143888.2
Q9NW68-8	NM_001143889.2
Q9NW68-9	NM_001143890.2
Q5W0U4-2	NM_001317944.1
Q80YW5-2	NM_138653.1
Q10588-2	XM_011513881.2
Q7KYR7-4	NM_078476.3
Q7KYR7-5	NM_001197233.2
Q7KYR7-6	NM_001197234.2
Q8WVV5-2	NM_001197238.1
Q8WVV5-3	NM_001197240.1
Q8WVV5-4	NM_181531.2
Q8WVV5-4	XM_005248798.4
Q8WVV5-5	NM_001197239.1
Q8WVV5-5	XM_011514231.2
O00481-2	NM_194441.2
O00481-2	XM_005248834.3
O00481-3	NM_001145009.1
O00481-4	NM_001145008.1
P78410-2	NM_001197248.2
P78410-3	NM_001197249.2
O00478-2	NM_197974.2
Q96K17-2	NM_001136497.2
Q96K17-3	NM_001243767.1
Q9FJX5-2	NM_203278.2
Q9H0C5-2	NM_001011885.1
Q9Y2F9-2	NM_001282550.1
Q9Y2F9-2	NM_001282551.1
Q9Y2F9-2	NM_181443.3
Q96KE9-1	NM_033271.2
Q8K2J9-1	NM_001145900.1
Q8K2J9-1	XM_006516056.3
Q9P203-3	NM_018167.4
Q9P203-5	NM_001289133.1
Q96Q07-2	NM_001172418.1
Q96Q07-3	NM_152733.2
Q9BSF8-2	NM_001297742.1
Q32M84-2	NM_001318189.1
P43251-4	NM_001281723.2
P43251-4	NM_001281724.2
P43251-4	NM_001281725.2
P43251-4	NM_001323582.1
P20290-2	NM_001207.4
Q64152-2	NM_001170540.1
Q14201-2	NM_001130914.1
P08630-2	NM_001103650.2
P08630-2	NM_057398.4
P08630-2	NM_164805.2
Q06187-2	NM_001287344.1
Q7Z6A9-2	NM_001085357.1
O70355-2	NM_079835.2
Q6UX41-3	NM_001159708.1
Q6UX41-4	NM_001159710.1
Q6UX41-5	NM_024850.2
Q6UX41-6	NM_001159707.1
Q6UX41-7	NM_001159709.1
Q6UXG8-3	NM_001308245.1
Q6UXG8-3	XM_011534444.2
Q9JK39-2	XM_006532533.3
Q9LZ82-2	NM_180433.3
O43683-2	NM_001278617.1
F4I241-2	NM_202384.2
O43684-2	NM_001007793.2
O22806-2	NM_001202739.2
Q9BRD0-2	NM_001159736.1
O43709-3	NM_001202560.2
P41223-2	XM_005250670.4
P41223-2	XM_005250671.4
P41223-2	XM_017012760.1
P41223-2	XM_017012761.1
Q6PGH1-2	NM_001008705.2
Q24522-2	NM_165013.4
Q24522-3	NM_001169493.2
Q24522-3	NM_165012.2
Q24522-4	NM_001042893.2
Q24523-1	NM_080364.4
Q24523-3	NM_001042894.2
O95971-3	XM_005272929.3
O95971-3	XM_011509104.2
P46505-2	NM_181936.4
O22763-2	NM_001340390.1
O22763-3	NM_178959.3
Q9M1G6-2	NM_001125366.1
Q8H1F0-2	NM_120050.4
F4IN23-2	NM_129800.2
B9DGI8-2	NM_180757.3
B9DGI8-3	NM_001036885.2
P15538-2	NM_001026213.1
Q2VLG6-2	NM_001313793.1
Q86VB7-3	NM_203416.3
Q9NR16-2	XM_011520616.1
Q9NR16-4	NM_001297650.1
Q6UWJ8-2	NM_207397.4
Q6UWJ8-2	XM_011541441.1
Q9Y4F5-2	NM_001112726.2
Q9Y4F5-3	NM_015005.2
Q69YN2-3	NM_001303405.1
Q69YN2-3	NM_001303406.1
Q8CI33-2	XM_006527364.2
Q8CI33-2	XM_011247357.2
Q8CI33-2	XM_011247358.2
Q8CI33-2	XM_017318296.1
Q8CI33-2	XM_017318297.1
Q9BXJ1-2	XM_006721666.1
Q9BXJ4-3	NM_181435.5
Q9BXI9-1	XM_011529857.1
Q9BXJ2-2	NM_001135170.1
Q9BXJ2-2	XM_011513772.1
Q4ZJN1-2	XM_006518983.2
Q4ZJN1-2	XM_006518984.2
O96553-2	NM_057906.4
O96553-2	NM_169351.2
Q6UB35-2	NM_001242769.1
Q8CJ91-2	NM_001037800.3
Q8CJ91-3	NM_001287211.1
Q4G0S4-1	NM_001001665.3
O14523-2	NM_014807.4
Q9Y426-2	NM_199050.2
Q9Y426-2	XM_005261109.4
Q4AC94-1	NM_015531.5
Q86YS7-2	NM_001286177.1
Q86YS7-3	NM_001286174.1
Q86YS7-3	NM_001286176.1
Q86YS7-4	NM_001286173.1
Q86YS7-5	NM_001286175.1
Q7TPS5-2	NM_001109688.2
Q7TPS5-3	NM_001286578.1
Q66HA5-2	NM_001013869.1
Q5T0F9-2	NM_001330585.1
Q9P2K1-5	NM_020785.2
Q9P2K1-6	NM_001164720.1
Q9P2K1-6	XM_011513874.2
Q6DHV5-1	NM_001001732.3
Q6DHV5-2	NM_001159747.1
Q6DHV5-4	NM_001130446.2
P33076-3	NM_001286403.1
P79621-2	NM_007575.4
P79621-3	NM_001302619.1
P79621-3	XM_011245810.2
O77086-2	NM_176694.3
Q9C9F5-2	NM_001084323.1
Q9C9F5-2	NM_001334355.1
Q9FWS3-2	NM_001198472.1
Q8L7N8-2	NM_121660.4
Q8L7N8-3	NM_203061.2
Q9FNZ1-2	NM_001344972.1
Q9FNZ1-2	NM_124577.4
Q9V5L3-3	NM_165774.3
P20851-2	NM_001017364.1
P20851-2	NM_001017366.2
Q99643-2	NM_001035511.1
Q99643-3	NM_001035512.1
Q99643-4	NM_001278172.1
Q99643-5	NM_001035513.1
Q8N8Q1-3	NM_001134400.1
Q8N8Q1-5	NM_001134402.1
O65788-2	NM_179322.1
O64636-2	NM_180109.3
Q949U1-2	NM_202111.2
Q9LSF8-2	NM_202630.2
Q9FMA5-2	NM_001344281.1
Q9FMA5-2	NM_123259.4
Q9FMA5-3	NM_203133.2
Q6DBW9-2	NM_194369.2
Q8TCZ2-2	NM_134446.3
Q8TCZ2-3	NM_134445.3
Q8TCZ2-5	NM_001242614.1
Q8TCZ2-6	NM_001184808.1
Q8BIF0-2	NM_138309.3
Q9BWL3-2	NM_015449.3
Q9BWL3-3	NM_001297723.1
Q9BWL3-4	NM_138740.3
Q9BWL3-5	NM_001297717.1
Q8R092-2	NM_027500.4
Q8R2K8-2	NM_001346514.1
Q6P1W5-2	NM_032884.4
Q6ZSJ8-2	NM_001142726.1
Q9D5Q8-2	NM_001163494.1
Q96HA4-4	NM_017891.4
Q8NEQ5-2	NM_001300834.1
Q1L9C7-2	NM_001044837.1
Q9CPZ3-2	NM_001199090.1
Q9H425-2	NM_001136495.1
Q9H425-2	XM_017002599.1
Q9H425-3	NM_001136494.1
A1L170-2	NM_001135240.1
P54289-2	NM_000722.3
P54289-3	XM_005250572.2
P54289-4	XM_005250574.2
P54289-5	XM_005250573.2
O08532-2	NM_009784.2
O08532-3	NM_001110846.1
O08532-4	NM_001110845.1
O08532-5	NM_001110844.1
Q9NY47-2	NM_006030.3
Q9NY47-3	NM_001005505.2
Q9NY47-4	NM_001291101.1
Q6PHS9-2	NM_001174050.1
Q6PHS9-3	NM_001174047.1
Q6PHS9-4	NM_001174049.1
Q6PHS9-6	XM_011242899.2
Q9H8G2-2	NM_001167575.1
Q9BRK5-4	XM_011541556.1
Q61112-2	NM_001302469.1
Q9Y6J0-2	XM_017028683.1
Q8TDN4-2	NM_138375.2
Q8TDN4-4	NM_001256438.1
Q9NZU7-1	NM_031205.3
Q9NZU7-2	NM_004276.4
Q9JLK7-2	NM_001310715.1
O88751-2	NM_001033675.1
O88751-3	NM_133529.2
P57796-2	NM_001300895.1
P57796-2	NM_001300896.1
Q9BXU9-1	NM_001017440.2
Q9BXU9-1	XM_011516596.2
Q9BXU9-1	XM_011516597.2
Q9BXU9-1	XM_017012678.1
Q9BXU9-1	XM_017012679.1
Q9BXU9-1	XM_017012680.1
Q9BXU9-1	XM_017012682.1
Q9BXU9-1	XM_017012683.1
Q9JJG7-2	NM_021371.2
Q9JJG7-2	XM_006504373.2
Q9JJG7-2	XM_006504374.2
Q06BI3-2	XM_006249243.3
O75952-2	NM_153768.2
O75952-3	NM_138644.2
O75952-3	NM_153769.2
O75952-4	NM_153770.2
O75952-5	NM_138643.2
Q9D424-2	NM_181731.3
Q9D424-3	NM_001042419.1
P91645-2	NM_078578.5
P91645-5	NM_206695.4
P91645-6	NM_206693.5
O00555-2	NM_000068.3
O00555-3	NM_001127221.1
P27884-2	NM_001101693.1
Q00975-2	NM_001243812.1
Q13936-11	NM_001129827.1
Q13936-12	NM_000719.6
Q13936-13	NM_001129833.1
Q13936-14	NM_001129829.1
Q13936-15	NM_001129839.1
Q13936-19	NM_001129846.1
Q13936-20	NM_001129843.1
Q13936-21	NM_001129841.1
Q13936-22	NM_001129842.1
Q13936-23	NM_001129840.1
Q13936-24	NM_001129834.1
Q13936-25	NM_001129837.1
Q13936-27	NM_001129835.1
Q13936-29	NM_001129838.1
Q13936-30	NM_001129832.1
Q13936-31	NM_001129831.1
Q13936-32	NM_001129836.1
Q13936-35	NM_001129844.1
Q13936-37	NM_001167623.1
Q01668-2	NM_000720.3
Q01668-3	NM_001128839.2
Q99246-3	NM_001083616.2
Q99246-4	NM_028981.3
Q15878-2	NM_001205294.1
Q15878-3	NM_000721.3
O60840-2	NM_001256789.2
O60840-4	NM_001256790.2
O43497-2	NM_198387.2
O43497-3	NM_198388.2
O43497-5	NM_198376.2
O43497-6	NM_198378.2
O43497-7	NM_198380.2
O43497-8	NM_198379.2
O43497-9	NM_198382.2
O43497-10	NM_198383.2
O43497-11	NM_198384.2
O43497-12	NM_198385.2
O43497-13	NM_198386.2
O43497-15	NM_001256328.1
O43497-16	NM_001256324.1
O43497-17	NM_001256327.1
O43497-18	NM_001256333.1
O43497-19	NM_001256334.1
O43497-20	NM_198377.2
O43497-21	NM_001256325.1
O43497-22	NM_001256332.1
O43497-23	NM_001256331.1
O43497-24	NM_001256329.1
O43497-25	NM_001256326.1
O43497-26	NM_001256330.1
O43497-33	NM_198396.2
O43497-34	NM_001256359.1
O43497-35	NM_001256360.1
O43497-36	NM_001256361.1
O95180-2	NM_001005407.1
Q9P0X4-4	NM_001003406.1
Q02789-3	NM_014193.2
Q02641-2	NM_199247.2
Q02641-3	NM_199248.2
Q8R3Z5-3	NM_001159319.2
Q08289-2	NM_000724.3
Q08289-3	NM_201590.2
Q08289-4	NM_201571.3
Q08289-5	NM_201570.2
Q08289-6	NM_001330060.1
Q08289-7	NM_201593.2
Q08289-8	NM_201597.2
Q08289-9	NM_201572.3
Q08289-10	XM_011519659.2
Q8CC27-3	NM_001309519.1
P54288-3	XM_017347580.1
Q8VGC3-5	XM_006254303.3
P54284-3	NM_001206917.1
P54284-4	NM_001206916.1
P54284-5	NM_001206915.1
O00305-2	NM_001005747.3
O00305-3	NM_001005746.3
O00305-4	NM_001145798.2
Q8R0S4-1	NM_146123.3
Q8R0S4-2	NM_001285427.1
Q8R0S4-2	XM_006497641.3
Q8R0S4-2	XM_017315163.1
D4A055-1	NM_001105733.1
Q8R0X2-2	NM_001172097.1
Q9P1Z2-4	NM_001143682.1
Q13137-2	NM_001261393.1
Q13137-3	NM_001261391.1
Q13137-4	NM_001261390.1
Q13137-5	NM_001261395.1
P43155-2	XM_005251708.3
Q03017-2	NM_057595.4
P55287-2	NM_001308392.1
P55289-2	NM_001317228.1
P55290-2	NM_001220491.1
P55290-3	NM_001220492.1
P55290-5	NM_001220489.1
O75309-2	NM_001204744.1
O75309-3	NM_001204746.1
O75309-4	NM_001204745.1
Q13634-2	NM_001167667.1
Q9H159-2	NM_001271028.1
Q9H251-5	NM_052836.3
Q9H251-7	NM_001171933.1
Q9H251-9	NM_001171934.1
Q9H251-10	NM_001171935.1
Q9H251-11	NM_001171936.1
Q86UP0-2	NM_144985.3
Q8IXH8-2	NM_021810.5
Q8IXH8-5	NM_001348204.1
P12830-2	NM_001317184.1
P19022-2	NM_001308176.1
P22223-2	NM_001317195.1
P55283-2	NM_001252339.2
Q02971-2	NM_001036728.2
P42734-2	NM_001036735.2
Q9BY67-3	NM_001301043.1
Q9BY67-4	NM_001301044.1
Q9BY67-5	NM_001098517.1
Q8R5M8-2	NM_018770.3
Q8R5M8-3	NM_207676.2
Q8R5M8-4	NM_001025600.1
Q8N3J6-2	NM_001167675.1
Q8N3J6-3	NM_153184.3
Q8N3J6-4	NM_001256504.1
Q8N3J6-4	NM_001256505.1
Q8N3J6-5	NM_001256502.1
Q8N3J6-5	NM_001256503.1
Q8BLQ9-2	NM_178721.4
Q8BLQ9-3	NM_001145977.1
Q8N126-2	NM_021189.4
Q8N126-3	NM_001346510.1
O15943-2	NM_165229.2
O15943-3	NM_165225.2
O15943-4	NM_165228.2
O15943-5	NM_165231.3
O15943-6	NM_165226.2
O15943-7	NM_165230.2
O15943-8	NM_165224.2
Q8TC20-2	NM_205864.2
Q8TC20-3	NM_001170693.1
Q8TC20-5	NM_001170692.1
O43570-2	NM_206925.2
P23280-2	NM_001270500.1
P23280-3	NM_001270501.1
P43166-2	NM_001014435.1
Q5VU97-2	NM_001293274.1
Q9HA72-3	XM_006717884.3
Q9HA72-3	XM_017016308.1
Q9HA72-3	XM_017016309.1
Q5JW98-2	NM_001256889.2
Q5JW98-2	NM_153036.4
Q5JW98-3	NM_001256887.2
Q5JW98-4	NM_001256888.2
Q5R3K3-2	NM_001276460.1
P30988-1	NM_001164737.1
Q60755-2	NM_001042725.1
P25117-2	NM_214354.2
Q05682-3	NM_033139.3
Q05682-4	NM_004342.6
Q05682-4	XM_017012652.1
Q05682-5	NM_033140.3
Q05682-6	NM_033157.3
Q96GE6-2	NM_001286694.1
Q96GE6-3	NM_001286695.1
Q96GE6-6	NM_033429.2
Q91WQ9-3	XM_006511532.1
Q9SLY8-2	XM_015791680.1
O43852-2	NM_001130674.2
O43852-3	NM_001199671.1
O43852-4	NM_001199672.1
O43852-10	NM_001199673.1
G5EGK5-2	NM_001026737.3
Q9SCS2-2	NM_001203119.1
Q8NCB2-3	NM_001320147.1
Q5T5Y3-3	XM_005263396.3
Q08AD1-2	NM_001297708.1
Q08AD1-3	NM_203459.2
Q8C1B1-2	XM_006529834.2
Q9P1Y5-2	NM_001080429.2
Q80VC9-3	NM_001347113.1
Q80VC9-4	NM_001347112.1
Q80VC9-5	NM_001347111.1
Q80VC9-10	NM_001163749.1
Q9HC96-3	NM_023085.3
A8MX76-2	NM_001321270.1
P34308-2	NM_066339.5
P17655-2	NM_001146068.1
P20807-2	NM_173087.1
P20807-3	NM_024344.1
P20807-4	NM_173088.1
P20807-5	NM_173089.1
P20807-5	NM_173090.1
Q64691-2	NM_001177799.1
Q91VA3-2	NM_001145806.1
O14815-2	NM_016452.2
Q11002-2	NM_057700.4
P63100-2	XM_006251517.3
Q8L5Y6-2	NM_001035877.2
O75155-2	NM_012298.2
P27398-2	NM_057389.6
Q8VCF1-3	NM_001267592.1
Q8VCF1-3	XM_006534404.2
Q8VCF1-3	XM_006534405.2
Q8VCF1-3	XM_006534406.2
Q8VCF1-3	XM_006534407.2
Q8VCF1-3	XM_006534408.3
Q8VCF1-3	XM_006534409.1
Q8VCF1-3	XM_006534410.3
Q9MBA1-2	NM_202240.2
Q9MBA1-3	NM_202241.2
Q01518-2	XM_011540515.1
P40121-2	NM_001256140.1
Q8SXX4-2	NM_168353.2
O75052-2	NM_001126060.1
O75052-3	NM_001164757.1
Q14444-2	NM_203364.2
Q6IMN6-2	NM_023925.4
Q6IMN6-3	NM_032156.4
Q6IMN6-7	XM_006719147.3
Q6IMN6-9	NM_001319843.1
Q6IMN6-10	NM_001206856.2
Q9ULU8-2	NM_183393.2
Q9ULU8-3	NM_183394.2
Q80TJ1-2	NM_012061.3
Q86UW7-2	NM_001009571.3
Q8BYR5-4	NM_001252105.1
O71155-2	NC_001899.1
Q90125-2	NC_004286.1
Q90125-3	NC_004286.1
Q90125-4	NC_004286.1
C1IWT2-3	NC_012564.1
C5IY46-3	NC_012729.2
Q23658-1	NM_001268737.1
Q23658-2	NM_001268738.1
Q23658-4	NM_001268740.1
Q23658-5	NM_001268739.1
Q23658-6	NM_001268742.1
Q9NHE5-2	NM_001258510.2
Q9NHE5-4	NM_001031859.2
Q9NHE5-5	NM_001031860.2
Q9NHE5-6	NM_001258511.2
Q9NHE5-7	NM_001031858.2
P14315-2	NM_001173529.1
P47757-2	NM_009798.4
P47757-4	NM_001271405.1
Q8CIS0-2	NM_175362.2
Q9BXL6-2	NM_001257970.1
Q9BXL6-3	NM_052819.2
Q5EG05-2	NM_052889.2
Q96LW7-2	NM_032310.4
Q9LP65-2	NM_001333345.1
Q9LP65-2	NM_103755.3
Q9LP65-3	NM_001198246.1
Q9Y2G2-3	NM_001184902.1
Q9Y2G2-3	NM_001184903.1
Q9Y2G2-4	NM_001184901.1
Q9Y2G2-4	NM_014959.3
Q9Y2G2-6	NM_001184904.1
Q9H257-2	NM_052814.3
Q5U2X0-2	XM_006253147.3
Q6EDY6-3	XM_011244338.2
Q6F5E8-2	NM_001317026.1
Q9FK63-2	NM_001344640.1
Q9WVG6-2	NM_153141.1
Q4AE70-2	NM_001030041.3
Q4AE70-4	NM_001034088.2
Q9I7X6-1	NM_130607.3
Q9I7X6-3	NM_001272225.1
Q9I7X6-3	NM_001272226.1
Q9I7X6-3	NM_166917.2
Q8N187-3	NM_001282910.1
Q8N187-3	NM_001282911.1
P49192-2	XM_006231843.3
O97943-2	NM_001303566.1
P47710-2	XM_006714089.2
P47710-3	XM_006714090.2
P47710-4	NM_001025104.1
Q9GKK3-2	NM_001081852.1
Q14511-2	NM_182966.3
Q14511-3	NM_001142393.1
P29466-2	NM_001223.4
P29466-2	NM_001257119.2
P29466-3	NM_033293.3
P29466-4	NM_033294.3
P29466-5	NM_033295.3
P49662-2	NM_033306.2
P51878-2	NM_001136109.1
P51878-3	NM_001136110.1
P51878-5	NM_001136112.1
P55212-2	NM_032992.2
P55210-2	NM_033340.3
P55210-3	NM_033338.5
P55210-4	NM_001267058.1
Q8IRY7-2	NM_057903.4
Q8IRY7-3	NM_057902.4
Q14790-2	NM_001080124.1
Q14790-2	NM_033356.3
Q14790-4	NM_001228.4
Q14790-9	NM_001080125.1
P55211-2	NM_001278054.1
P55211-4	NM_032996.3
P55211-4	XM_005246014.2
Q92851-2	NM_001230.4
Q92851-4	NM_032977.3
Q92851-3	NM_032976.3
Q92851-5	NM_001206542.1
Q92851-6	NM_001206524.1
Q92851-7	NM_001306083.1
Q075B4-2	NM_001077236.1
O89094-2	XM_006513160.3
Q8IA98-2	NM_065174.5
Q13948-2	NM_181500.3
Q13948-9	NM_001202546.2
Q13948-10	NM_001202544.2
P41180-2	NM_001178065.1
Q9NQ75-3	NM_001164115.1
Q08EC4-2	NM_001276422.1
G5ED46-2	NM_001047257.4
G5ED46-3	NM_062788.4
Q86V15-2	NM_017766.4
Q9CWL2-2	NM_027195.2
Q94K85-2	NM_178950.2
P53634-2	NM_148170.4
P53634-3	NM_001114173.2
P14091-2	NM_148964.2
P16228-2	NM_012938.1
Q9VN93-2	NM_141264.4
F4I2J8-2	NM_100272.4
G5EG14-2	NM_001267491.1
G5EG14-3	NM_001267492.1
Q95029-2	NM_166026.3
P25774-2	NM_001199739.1
P49817-2	NM_001243064.1
Q18879-2	NM_001269596.1
Q18879-3	NM_001269597.1
Q18879-4	NM_001269595.1
P51636-2	NM_001206747.1
P51636-3	NM_198212.2
Q95RV2-2	NM_170133.2
Q95RV2-2	NM_170134.2
Q95RV2-3	NM_170135.2
Q39253-2	NM_201901.4
Q945S5-2	NM_001342594.1
Q945S5-2	NM_120227.4
Q13938-4	NM_004058.4
Q9BXY5-2	NM_001286548.1
Q8BUG5-3	NM_178278.4
Q8BUG5-3	XM_006513814.3
Q8BUG5-3	XM_006513815.1
Q8BUG5-3	XM_006513816.1
Q8R3C1-2	NM_001243741.1
A4IFR8-2	NM_001083775.1
Q9CRW3-2	NM_001172074.1
Q9XF88-2	NM_180214.1
Q6P9G0-2	NM_001330110.1
F4IPM3-3	NM_127992.3
F4K2R6-2	NM_001203479.1
A1XBS5-2	NM_001283034.1
Q8N350-4	NM_152769.2
Q3TTA7-2	XM_006521952.3
Q9ULV8-2	NM_001130852.1
P34545-2	NM_066760.5
P34545-3	NM_001129239.2
Q9UI42-2	NM_001163446.1
Q8WXQ8-3	NM_001127442.1
Q5U901-2	NM_001289497.1
Q9UPW5-2	NM_015239.2
Q9UPW5-3	NM_001286717.1
Q641K1-2	NM_001284221.1
Q641K1-4	NM_001048008.2
Q641K1-4	NM_001284218.1
Q8CDK2-2	XM_006499642.3
Q8CDK2-4	XM_006499640.1
Q8CDK2-5	XM_006499643.1
Q8CDK2-5	XM_011239579.1
Q8NEM8-4	NM_178563.3
Q8CDP0-3	NM_178630.4
Q8CDP0-5	NM_001289658.1
Q8NDL9-3	NM_001035507.2
Q09M02-3	NM_001294262.1
Q09M02-6	NM_174849.3
Q09M02-7	NM_001048192.2
Q5VU57-2	NM_001323573.1
Q09LZ8-2	NM_001048189.4
P42787-3	NM_206599.2
P42787-4	NM_166846.5
P42787-5	NM_001297815.1
P42787-5	NM_206596.2
P42787-6	NM_001297813.1
P42787-6	NM_206598.3
